Position,Location,Organization,Websites,Description,Goal,Benefits,Qualifications,Time,Training,Interest
Breakfast Food Ambassador,  Brampton,  Regeneration Outreach Community,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2098&MenuItemID=1,"
DescriptionWe are looking for morning people with a heart for those in need, to help serve at hot nutritious breakfast from 7AM to 10AM.  We need folks 7 days a week, 365 days a year....If you have time, once a week, once a month, or even to be on call, than we are looking for you!
","
GoalWe help meet the nutritional needs of those who are homeless and those who are living in extreme poverty within the city of Brampton.
","
BenefitsIf you want to feel like you are part of a community that is making a noticeable difference in the place where YOU live.  If your interested in life stories and seeing hope when you serve a hot meal to someone in need, this is the place to volunteer.......All this plus you get to learn how to prepare a meals for about 120 people!
","
Position QualificationsAll you need is a police check, pair of close toe shoes, a heart to help, and a good attitude!  Min Age: 15    Police Check: Yes
","
Time Commitment Duration:Any Duration Monday Morning, Thursday Morning, Saturday Morning, Sunday Morning7AM to 10AM
","
TrainingOur next orientation is November 8 at 7PM
","
Area(s) of Interest: Food Services, Shelters
"
Program Assistant Volunteer (Arabic Speaking),  Mississauga,  Seniors Life Enhancement Centres,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1182&MenuItemID=1,"
DescriptionTasks for Program Assistant Volunteers may include greeting clients in the mornings and assisting with serving snacks, assisting staff members in the delivery of programs throughout the day, assisting Activity Coordinators with program preparations, and providing one to one programming with clients as per staff direction. This position will also require the assisting clients by translating directions from English to Arabic and may require translating client concerns from Arabic to English.
","
GoalThe goal of a Program Assistant volunteer is to assist staff in the delivery of programs throughout the day.
","
BenefitsVolunteers in this position will benefit by assisting clients who speak Arabic be able to fully participate in the program.
","
Position QualificationsMust be able to speak and understand ArabicMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) Monday Morning, Monday Afternoon, Monday Evening, Tuesday Morning, Tuesday Afternoon, Tuesday Evening, Wednesday Morning, Wednesday Afternoon, Wednesday Evening, Thursday Morning, Thursday Afternoon, Thursday Evening, Friday Morning, Friday Afternoon, Friday Evening, Saturday AfternoonWe are open Monday to Friday 7:30AM-6:30PM, Tuesday and Thursday evenings until 9:00PM and Saturday 10:00AM-4:00PM.
","
TrainingVolunteers will be given a full orientation before they start on the floor and in house training thereafter.
","
Area(s) of Interest: Senior Support
"
Garden/Landscape Volunteer,  Caledon,  Bethell Hospice,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1742&MenuItemID=1,"
DescriptionAdopt a garden bed to maintain throughout the entire season! Come as you are able to help with planting, maintenance and other landscape items.Landscape Design Goals- Native species, planted and encouraged to naturalize- Biodiversity to attract and support and abundance of birds, bees, butterflies and other pollinators- Design and species selection that is low maintenance- Beauty and support of wildlife through the four seasons- Wheelchair accessibilitySustainable Environmental and Maintenance Goals- Hardy plant material able to withstand drought and occasional flooding- Use of chemicals, fertilizers and watering systems not required- Minimum of noise and pollution from power equipment
","
GoalHospice volunteers are highly respected and valued members of the Bethell Hospice trans-disciplinary team who generously give of themselves and their time. They each bring unique gifts to those they serve. Garden/Landscape Volunteers contribute to the maintenance of a natural design that fits with the local natural heritage and provides a peaceful, pleasing and restorative environment for residents, visitors, staff and volunteers.
","
BenefitsVolunteer in a team environmentApply your enthusiasm and skills towards maintaining a beautiful landscape for hospice residents and their familiesLearn more about Hospice Palliative Care Services in your communityLearn more about caring for gardens designed with native species to attract birds, bees, butterflies and other pollinatorsAll tools supplied by Bethell Hospice
","
Position Qualifications- Minimum 18 years of age - Sensitive, compassionate, flexible and conscientious- Open-minded and non-judgmental- Respect for diversity, equity and inclusivity- Responsible, punctual and reliable - Maintain confidentiality at all times- Work well in a team or independently, open to guidance as an opportunity for self-growth- Strong time management skills- Comfortable asking questions and seeking information- Meet physical requirements of the position - Love for gardening and landscaping- Successfully complete screening requirements and Hospice Lite trainingMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Medium Term (4 - 6 months) AnytimeSchedule is worked out with Volunteer Coordinator and Landscape Committee
","
TrainingHospice Lite Training provided by Bethell Hospice. Please contact [email protected] for more information on Fall 2016 dates
","
Area(s) of Interest: Environment, Seasonal/Special Event, Healthcare, Senior Support
"
In-Home Visiting Volunteer,  M/B/C/V,  Bethell Hospice,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1740&MenuItemID=1,"
Description- Uphold the client's right to dignity and self-determination and to provide client-directed support - Support the social and emotional wellbeing the clients with life-limiting illnesses and to the family members/caregivers.  - Establish supportive relationships with clients, their family and visitors. - Endeavor to meet the client and family's needs according to the goals of the care plan and guidelines in the hospice policies and procedures.  - Observe and report changes in client's condition to Community Care Coordinator or designate- Communicate with the Community Care Coordinator after first visit and communicate any changes or concerns about the client/caregivers- Visit with the client and family, sharing mutual interests, reading, letter writing, arts and crafts, music, errands, light meal preparation and feeding, and light household tasks- Accompany clients for walks where suitable- Provide comfort measures such as assistance with feeding, bed changing, personal hygiene, mouth care and light hand massage- Continue to pursue available training opportunities to ensure learning is kept up to date and relevant throughout volunteer experience- Adhere to Bethell Hospice's policies and procedures- Maintain record of client care visits/telephone support and report monthly statistics by the 5th of each month to Community Care Coordinator- Act as an ambassador for Bethell Hospice
","
GoalHospice volunteers are highly respected and valued members of the Bethell House trans-disciplinary team who generously give of themselves and their time. They each bring unique gifts to those they serve. In-Home Visiting Volunteers actively contribute to the well-being of clients and their families, providing companionship and emotional support.
","
BenefitsCare for those in your communityApply compassionate, listening and communication skillsWork as part of a team of In-Home Visiting volunteersLearn more about Hospice Palliative Care Services in your community
","
Position Qualifications- Minimum 18 years of age - Sensitive, compassionate, flexible and conscientious- Open-minded and non-judgmental- Respect for diversity, equity and inclusivity- General proficiency in English for reading and writing- Responsible, punctual and reliable - Maintain confidentiality at all times- Courteous and effective communication; Active listening skills- Work within role boundaries and position scope- Work well in a team or independently, open to guidance as an opportunity for self-growth- Manage stressful situations, remain calm in an emergency- Strong time management skills- Comfortable asking questions and seeking information- Meet physical requirements of the position - Comfort and ability to discuss issues regarding, illness, dying, death and bereavement- Active listening and communication skills- Ability to discern boundaries and limitations to maximize client empowerment- Successfully complete screening requirements and Hospice Palliative Care Ontario trainingMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) AnytimeTime of visits are coordinated with Client Care Coordinator and Client/Family
","
TrainingHospice Palliative Care Ontario training provided by Bethell Hopsice. Please contact [email protected] for more information on Fall 2016 dates.
","
Area(s) of Interest: Healthcare, Life Skills & Accessibility, Senior Support
"
Resident Support Volunteer,  Caledon,  Bethell Hospice,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1739&MenuItemID=1,"
Description- Communicate with care team for direction on priority needs and significant changes to resident conditions, new admission and/or deaths- Endeavor to meet resident and family needs according to the goals of the care plan and guidelines in Bethell Hospice's policies and procedures - Report care concerns, and in the case of any unusual incidents, notify a care team member immediately - Provide direct service to residents and family:- Support emotional well-being- ""Be present""- Project warm, caring, empathetic attitude- Listen attentively- Offer respite for caregiver - Assist care team, when required, with positioning, turning, transfers of residents and gentle hand and foot massage with non-medical creams - Help residents with correspondence, reading, listening to music, sharing crafts, memory book, card playing, and special interests- Assist with delivering meals to residents or clearing dishes from room (in the absence of a kitchen volunteer, or when required)- Welcome new residents and families to Bethell House (shower, dining room, kitchenette, food storage, how to use TV, call system, phones, etc.)- Under the direction of the care team, assist with feeding residents- Assist with laundry as needed- Update the care team of any pertinent changes or highlights of time spent with residents or family members- Chart pertinent information in resident chart - Attend volunteer and team support meetings as required- Use effective coping skills and self-care techniques to deal with multiple deaths- Debrief the Manager of Community and Volunteer Services when having difficulties in dealing with the death of a resident
","
GoalHospice volunteers are highly respected and valued members of the Bethell Hospice trans-disciplinary team who generously give of themselves and their time. They each bring unique gifts to those they serve. Resident Support Volunteers actively contribute to the well-being of residents and their families, providing companionship and emotional support.
","
BenefitsWork in a team atmosphere, develop friendshipsCare for those in your communityApply compassionate, listening and communication skillsLearn more about hospice palliative care in your community
","
Position Qualifications- Minimum 18 years of age - Sensitive, compassionate, flexible and conscientious- Open-minded and non-judgmental- Respect for diversity, equity and inclusivity- General proficiency in English for reading and writing- Responsible, punctual and reliable - Maintain confidentiality at all times- Courteous and effective communication;  Active listening skills- Work within role boundaries and position scope- Work well in a team or independently, open to guidance as an opportunity for self-growth- Manage stressful situations, remain calm in an emergency- Strong time management skills- Comfortable asking questions and seeking information- Meet physical requirements of the position - Comfort and ability to discuss issues regarding, illness, dying, death and bereavement- Active listening and communication skills- Ability to discern boundaries and limitations to maximize client empowerment- Successfully complete screening requirements and Hospice Palliative Care Ontario trainingMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) Monday Morning, Monday Afternoon, Monday Evening, Tuesday Morning, Thursday Morning, Thursday Afternoon, Saturday Morning, Saturday Afternoon, Saturday Evening, Sunday Evening, AnytimeThree shifts per day: 9:00am-1:00pm; 1:00pm-5:00pm; 5:00pm-8:30pm
","
TrainingHospice Palliative Care Ontario training provided by Bethell Hospice. Look for upcoming dates on www.bethellhospice.org
","
Area(s) of Interest: Healthcare, Life Skills & Accessibility, Senior Support
"
Reception/ Hospitality Volunteer,  M/B/C/V,  Bethell Hospice,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1365&MenuItemID=1,"
Description- Provide a welcoming greeting to anyone entering Bethell House - Ensure each person who enters the building is treated with dignity and respect - Provide professional and courteous telephone coverage - Route and transfer incoming calls to appropriate areas or personnel- Check voicemail routinely for messages and forward as appropriate- Ensure all persons entering or exiting have signed in and signed out - Review hand hygiene protocol as visitors enter the building- Escort or direct residents, family and visitors to appropriate areas- Provide general directions and information regarding hospice- Refer questions about resident status to Clinical Staff to maintain confidentiality- Accept floral deliveries, directs other deliveries to the appropriate location- Sign for incoming couriers/deliveries (medical deliveries referred to nurses)- Maintain up-to-date census report regarding discharges and admits- Assist with tidying up common areas near the reception desk- Record registration and RSVPs to hospice events and activities- Occasionally provide tours to guests upon request of employees - Occasionally receive and process donations in person or over phone and advise Bethell Hospice Foundation- Notify Clinical Staff upon the arrival of new admission- Call volunteers to cover open shifts- Attend team meetings as required- Perform other duties as assigned
","
GoalVolunteers will be located at the reception desk and are the first contact for anyone arriving at Bethell Hospice. The Reception/Hospitality Volunteer provides support to individuals and families as they visit Bethell House.
","
Benefits- Join in caring for those in your community. Be part of a team environment. Apply your unique skills and expertise. Learn more about hospice palliative care services in your community.
","
Position Qualifications- Minimum 18 years of age - Sensitive and compassionate, flexible and conscientious- Open-minded and non-judgmental- Respect for diversity, equity and inclusivity- General proficiency in English for reading and writing, with basic math- Responsible, punctual and reliable - Maintain confidentiality at all times- Courteous and effective communication; active listening skills - Work within role boundaries and position scope- Work well in a team or independently, open to guidance as an opportunity for self-growth- Manage stressful situations, remain calm in an emergency- Strong time management skills- Comfortable asking questions and seeking information- Meet physical requirements of the position - Review of reception guidelines- Successfully completed screening requirements and minimum of Hospice Lite trainingMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) Monday Morning, Monday Evening, Thursday Evening, Friday Evening, AnytimeLong Term (more than 6 months)
","
TrainingHospice Lite Training in Fall 2016. Please contact [email protected] for more information
","
Area(s) of Interest: Office Administration, Healthcare
"
Food Bank Volunteer (Malton),  Mississauga,  Seva Food Bank,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1022&MenuItemID=1,"
Description• Welcome clients• Assist clients from the community receive their grocery needs• Organize donations for our clients-Direct contact with clients
","
GoalAssist Clients with their Personal Shopping from our Food Bank Store
","
BenefitsHelping community members Customer's Service experience
","
Position Qualifications-Will be trained on Customer ServiceMin Age: 18    Police Check: No
","
Time Commitment Duration:Long Term (More than 6 months) Monday Evening, Tuesday Morning, Thursday Evening, Friday AfternoonTuesday 12-4, Thursday 2-6, Friday 11-2 (One or more shifts per week will be greatly appreciated)
","
TrainingOrientation ; Training-on-the-job ; Training on-going
","
Area(s) of Interest: Crisis, Distress & Emergency Response, Food Services, Settlement & Integration, Newcomer Support
"
Childcare Volunteer,  Brampton,  Boys and Girls Club of Peel,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1248&MenuItemID=1,"
DescriptionA great opportunity for a Early Child Education student or volunteer who is interested in the child care field to assist Boys and Girls Club of Peel with various child care related tasks. You will help to support Boys and Girls Club mission to provide a safe supportive place where children can experience new opportunities, overcome barriers, build positive relationships and develop self confidence and skills for life. Duties of role :-provide children ages 6-12 with support and engaging activities. -Keep the program space areas clean and organized.-Plan crafts, activities and games.-Act as a role model. -Provide positive reinforcement and promote healthy, non-violent behaviors.-Follow agency policy and procedures.-Complete other tasks assigned. -Maintain and complete appropriate forms.
",nan,"
Benefits-Experience working with children in at risk neighborhoods. -An opportunity to enhance your skills while gaining experience. -Build your resume and references.-Build Confidence and self esteem.-An opportunity to give back to society. -An opportunity to be a mentor. - Training and Orientation and staff support is provided.
","
Position Qualifications- A strong passion for volunteering with an interest in early childhood education. -Good organization skills.-18 years of age or older. -Knowledge of local community.-Evening availability and availability to travel to Brampton center locations. -Strong oral and communication skills. -Personal or professional experience providing care to children required. -Vulnerable Sector Check required. -CPR First Aid required. Min Age: 18    Police Check: Yes
","
Time Commitment Duration:Medium Term (4 - 6 months) Tuesday Evening, Wednesday Evening, Thursday Afternoon, Anytime
",nan,"
Area(s) of Interest: Parent & Child Support
"
Project Assistant - Care for Caregivers Program,  Brampton,  Elder Help-Peel,https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=1353&MenuItemID=1,"
DescriptionDuties of the role:• Facilitate various training opportunities for volunteers including room booking, preparing resource material, creating registration, and obtaining feedback at the conclusion of training;• Liaising with the Advisory Committee on a bi monthly basis to brainstorm and plan topics for workshops catering to caregivers;• Attendance at community outreach events to promote the Care for Caregivers program; may include presentations and/or displays
","
GoalIn cooperation with the Executive Director, the Advisory Committee, and other staff and volunteers, to provide ongoing support in the delivery and implementation of the Care for Caregivers Education and support program.Help to:• Increase awareness and knowledge of elder isolation, mental health, caregivers stress and burnout, and its effects on the family• Promote resources and educational workshops for caregivers providing supportg
","
BenefitsBenefits:• Gain experience in project management and coordination• Expand your social and professional network• Become a resource in your community, and raise awareness of family caregivers' challenges and needs in providing care to a family member
","
Position QualificationsRequirements & Qualifications:• Experience in project management and/or coordination is an asset• A strong passion for volunteering• Good organization/coordination skills• Knowledge of local community• Strong English oral and written communication skillsMin Age: 18    Police Check: No
","
Time Commitment Duration:Long Term (More than 6 months) AnytimeFlexible – between the hours of operation of 9:00am – 4:00pm, 3 days a week.
",nan,"
Area(s) of Interest: Education & Learning, Office Administration, Program Coordination, Senior Support
"
Meals On Wheels Volunteer Driver - solo or in pairs (ACTIVE during the COVID-19 Emergency) ,  Mississauga,"  Victorian Order of Nurses, Peel Region, Community Health and Support Services",https://www.volunteermbc.org/report.php?ListType=VolunteerPositionsAll&ID=2784&MenuItemID=1,"
DescriptionThis position is ideal for individuals as well as friends or family members to volunteer together!  Deliver hot and/or frozen meals to; individuals who cannot prepare food themselves or bulk delivery to seniors community programs.  In doing so, volunteers will maintain confidentiality of route sheets, report concerns to the VON staff regarding the well-being of the clients, attend in-service training as arranged by the site.  Clients are primarily seniors. In particular:- The need for drivers to deliver food is in Mississauga (South Etobicoke, and Oakville)- The need for volunteers at this time is IMMEDIATE and URGENT- COVID UPDATE > Meals are being delivered and left at clients' front doors.  Volunteers do NOT go into homes- COVID UPDATE > Minimum 6 month commitment is not required, but preferred PLEASE click on 'Apply Now!' (above/below) for access to the program's outline/volunteer consent form. The form may be printed, signed, scanned (with signature/date), then emailed to '[email protected]', with 'COVID-19 Meals on Wheels Volunteer' in the subject line. You name/contact info will join a list of 'Applicants' when you click 'Apply Now!'. Thank you!
","
GoalVON Canada is a national, not-for-profit, charitable home and community care organization. For more than 120 years, our nurses, therapists and other health care providers have cared for Canadians in their own homes. Today, we offer more than 75 home care, personal support, and community services designed to help people of all ages to get healthy and stay healthy. Our team of more than 5,000 staff and 9,000 volunteers serves Canadians in more than 1,200 communities across our country.Deliver hot and/or frozen nutritious meals to our client's home, and in doing so contribute towards sustaining the health of VON clients.
","
Benefits+ Work as part of a dedicated team committed to serving the needs of the community+ Make friends+ Gain experience working with seniors+ Educational opportunities+ Kilometre reimbursement (mileage expenses are covered)+ Networking+ Experience personal growth and satisfaction+ Enjoy excellent volunteer recognition + References may be provided upon request
","
Position Qualifications● Volunteer engagement for a MINIMUM of 6 months (preferred, but NOT REQUIRED for COVID-19)● Valid Class 'G' driver's licence and clean driving record (must provide Driver's Abstract)● Access to a reliable motor vehicle (Proof of auto insurance is required)● Good communication and active listening skills● Friendly, outgoing with older adults and persons with disabilities● Capacity to remain calm in unexpected situations● Ability to work independently and as part of a team● Ability to set clear boundaries, respect for privacy, and confidentiality, PLUS strictly abide by COVID-19 physical 'social distancing' rules● 'Police Vulnerable Sector Check', because you'll be involved with vulnerable seniorsMin Age: 18    Police Check: Yes
","
Time Commitment Duration:Long Term (More than 6 months) Monday Morning, Tuesday Morning, Wednesday Morning, Thursday Morning, Friday MorningAny day Monday to Friday from 10:30 am and 1:30 pmOur volunteer HQ is located in   3205 Unity Dr, Mississauga, ON L5L 4L5
","
TrainingOne time VON orientation followed by shadowing with a current program volunteer on a route plus ongoing training as required.  Dates are determined by the Coordinator and volunteer applicants together.COVID UPDATE-shadowing is not happening at this time.  Orientation is primarily done VIRTUALLY (online).
","
Area(s) of Interest: Food Services, Senior Support, Transportation
"
