Position,Organization,Websites,Description,Qualifications,Interest,Location
"
                                                                                                                                                        Summer Student Opportunity
                                                                                                                                                ",Brain Companion,https://volunteersudbury.galaxydigital.com/need/detail/?need_id=526633,"
Description

CALLING ALL HIGH SCHOOL STUDENTS AND UNDERGRADUATES!! Are You Interested in Making a Difference this Summer as well as boosting your resume for future opportunities? Sign up here: https://forms.gle/QwrNmdco3UbRvkoW9
Students will be divided into groups depending on their interests (study tips, graphic design, social media virality, advocating etc.) and will be able to learn and test out their skills!
Here are some benefits if YOU join our team:

Unique opportunity for a resume
Receive peer-to-peer mentorship
Learn and develop useful skills
Meaningful volunteer experience
And more!

Applications are due July 2nd, 2020 @ 11:59 PM.
✍ APPLY NOW: https://tinyurl.com/BrainCompanion
Please message us on Facebook or email us at braincompanion@gmail.com if you have any questions. 

","

				Additional Details
				
Get Connected Icon






Get Connected Icon
13 and older


Get Connected Icon
Register by Jul 4, 2020


Get Connected Icon

								Virtual Need
							


Get Connected Icon
Student Opportunity



","['Education', 'Advocacy and Policy', 'Technology']",nan
"
                                                                                                                                                        Video Creator - Public Service Announcement
                                                                                                                                                ",Reseau Access Network,https://volunteersudbury.galaxydigital.com/need/detail/?need_id=525745,"
Description

Do you have video making skills? We need your help!
Réseau ACCESS Network is seeking individuals with digital production and video editing skills to create a Public Service Announcement (PSA) for HIV Awareness week.
This is a work from home opportunity. Your primary role will be to create a video Public Service Announcement (PSA) with visually appealing content for use by Réseau ACCESS Network for HIV Awareness week. Participants will be given list of appropriate topics to highlight in their PSA and asked to create a compelling 30 second or 1 minute video about the topic (example – get tested). Videos, once approved, will be launched during HIV awareness week.
Interested volunteers will be required to have prior video editing skills and/or digital design knowledge, their own computer as well as access to video editing software, and must be willing to sign a confidentiality waiver to be considered for this program.
Videos developed by volunteers will be featured on our website and social media during HIV Awareness Week.
Help Us Spread the Word Online by Creating an Amazing Video!


","

				Additional Details
				
Get Connected Icon






Get Connected Icon
Register by Sep 1, 2020


Get Connected Icon

								Virtual Need
							


Get Connected Icon
Access to Video Editing Software at Home is Necessary



","['Technology', 'Advertising and Marketing', 'Arts and Music', 'Special Events']",nan
"
                                                                                                                                                        Bingo Helpers Needed
                                                                                                                                                ",Canadian Royal Purple,https://volunteersudbury.galaxydigital.com/need/detail/?need_id=492448,"
Description

*AT THIS TIME WE ARE NOT RECRUITING VOLUNTEERS. IF YOU ARE INTERESTED IN VOLUNTEERING IN THE FUTURE PLEASE CONTACT US*
 
Volunteers are needed to assist during Bingo at the Notre Dame Delta Bingo & Gaming centre. The money raised from bingo goes to help the Royal Purple support the children and seniors of Greater Sudbury.
Responsibilities:
- Must be over 18 years of age- Go to individuals with a bingo win to read the winning numbers aloud- Emptying blue boxes at each bingo players seat- Clearing any trays, garbage, etc. *Duties are light - no strenuous activity
Training sessions are mandatory and are 2 hours.Training dates can be discussed upon your registration.
Our Volunteer Bingo dates are on Saturdays from 4:30pm - 6:30pm. Current scheduled dates are:
- March 7, 2020
- March 14, 2020
- March 21, 2020
- March 28, 2020
 
**If you are interested in supporting the Canadian Royal Purple through this Bingo initiative, please respond to this ad and someone will contact you in the next couple days.
All volunteer spots have been filled another schedule will be posted shorty
Thank you very much!

","

				Additional Details
				
Get Connected Icon






Get Connected Icon
Volunteers should be between the ages of 18 and 85.


Get Connected Icon

																	Is Not Family Friendly
															


Get Connected Icon

																	Is Not Outdoors
															


Get Connected Icon

																	Is Wheelchair Accessible
															


Get Connected Icon
Must wear Black Pants and Dark Shoes


Get Connected Icon
Royal Purple will supply an Identification Pin


Get Connected Icon
Must wear a collared white shirt



",['Special Events'],"
Location



Get Connected Icon

												Delta Bingo and Gaming (Notre Dame location)

																									
													940 Newgate Ave
												
												
												Sudbury, ON P3A 5J9
											



"
"
                                                                                                                                                        Bundle Up in Red - Scarf Making
                                                                                                                                                ",Reseau Access Network,https://volunteersudbury.galaxydigital.com/need/detail/?need_id=517329,"
Description

We need 500 scarves by November 1, 2020To spread awareness about HIV we will be bundling the town up in red... red scarves. This will be part of our November HIV Awareness Campaign. If you can knit or crochet, we need your help!
Knit or crochet any pattern of red scarf to a minimum of 2 meters long (6 feet) and deliver them to 111 Larch St, 4th Floor by November 1st, 2020. It's that simple to help. Knitted scarves will be handed directly to people in need. Felt scarves will be tied around town by a team of volunteers to promote the importance of HIV testing and education. Attached to scarves will be a pamphlet with HIV messaging. Anyone can take the scarves.  Any scarves left over will be donated to shelters. Help us create awareness and keep people warm this winter. Sign up today!


","

				Additional Details
				
Get Connected Icon






Get Connected Icon

																	Is Wheelchair Accessible
															


Get Connected Icon

								Virtual Need
							



","['Education', 'Health', 'Special Events']",nan
"
                                                                                                                                                        HSN Mask Challenge: Sewers Needed!
                                                                                                                                                ",Health Sciences North - Volunteer Services,https://volunteersudbury.galaxydigital.com/need/detail/?need_id=514192,"
Description

*Please read all of the details below, and click on the link provided for full details about this initiative! This is a virtual opportunity, that you can do from the comfort of your own home!*
 
PLEASE NOTE: ALL HANDMADE MASKS MUST BE DROPPED OFF AT SUDBURY STEAM CLEANERS!
 
With the current COVID-19 Pandemic, there is a worldwide shortage of personal protective equipment, otherwise known as PPE. In order to keep our community healthy and safe, HSN is issuing a challenge to all Northeastern Ontario Sewers to collectively make masks!
 
For those interested in the challenge, please follow this link: https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/Personal-Protective-Equipment-PPE-Supplies/HSN-Mask-Challenge
 
How Can I Help?
The masks created will be used by all approved visitors who enter HSN, all discharged patients as they reintegrate into the community, and the broader community for disease transmission prevention. 
Please click the link above for a list of what you will need, and example patterns.
 
Where Can I Drop Them Off?
The masks MUST be dropped off at the Sudbury Steam Cleaners (210 Walnut Street, Sudbury, Ontario) between 7:30am and 6:00pm Monday to Friday in the covered bin labelled ""Donated Masks Drop Off"" outside the front depot entrance. 
HSN asks that all donations are put in a plastic bag, along with your name, mailing address, email address, and phone number. Providing contact information is optional, and will be used by the Foundation at Health Science North to say thank you for participating in the HSN Mask Challenge and shre updates on their progress.
 
If you have any questions about the challenge, please email ppesupplies@hsnsudbury.ca.

","

				Additional Details
				
Get Connected Icon






Get Connected Icon

								Virtual Need
							



",['Health'],nan
"
                                                                                                                                                        Board Director - Virtual Opportunity
                                                                                                                                                ",Sudbury Action Centre for Youth,https://volunteersudbury.galaxydigital.com/need/detail/?need_id=511882,"
Description

Despite COVID-19, we are still working hard to ensure we can continue to provide services to vulnerable / homeless youth in our community (specifically - the downtown core). Visit our website to learn more about our mission, vision and values. www.sacy.ca
 
 
YOUR COMMITMENT:
Our volunteer board, comprised of skilled community professionals, meets monthly (currently over zoom) on the 3rd Thursday of the month between 7:00am-9:00am. The Treasurer works closely with the Executive Director to ensure financial governance and is expected to chair the finance committee which currently has a team of 3 board members.
 
TASKS AND RESPONSIBILITIES:
As chair of the finance committee, you can call meetings as often as you like, but it is recommended that the committee meet a minimum of once/month. The finance committee is responsible for preparing cash-flow projections, analyzing balance sheets and preparing KPIs for the board. 
 
We recently hired the services of KPMG to help us get our accounting in a cloud format using SAGE and Telpay. We are working towards creating a transparent, streamline accounting system with checks and balances to support good governance. 
 
THE IMPACT:
To provide high quality services to clients in need, and win community/provincial service contracts, the organization must keep its overhead and administrative fees low. We are looking for a skilled volunteer to help us achieve this goal. Your efforts could have a BIG impact on the health and well-being of our downtown core. 
 
If this opportunity interests you, please respond to this need and you will be contact about next steps for applying for this position.

","

				Additional Details
				
Get Connected Icon






Get Connected Icon
18 and older


Get Connected Icon

																	Is Not Outdoors
															


Get Connected Icon

																	Is Wheelchair Accessible
															


Get Connected Icon

								Virtual Need
							



","['Board Service', 'Finance']",nan
"
                                                                                                                                                        CIBC Run for the Cure - Run Director - Logistics
                                                                                                                                                ",Canadian Cancer Society,https://volunteersudbury.galaxydigital.com/need/detail/?need_id=506958,"
Description

VOLUNTEER RECRUITMENT UPDATE: We recognize that many people are eager to come forward and help others at this time. We thank you for your desire to help. CCS continues to need this support, especially given the people we serve are at an increased risk. We are also asking our clients, staff and volunteers to follow the preventative recommendations from public health officials. At this time, in light of the importance of social distancing, we will not be actively recruiting, conducting face to face interviews or onboarding new volunteers.  If you are interested in any position, we would be happy to arrange a phone/online chat to let you know more about who we are and the opportunities. We continue to reassess daily and prepare for the possibility that we may need to change plans and programs to reflect most current recommendations. We will keep in touch with you to provide updates about how we are able to actively continue the important work of supporting the one in two Canadians who will experience cancer. We are also encouraging Canadians to continue to show their support by visiting cancer.ca to discover a variety of ways to donate and support our critically-needed activities. To speak with us about volunteering, please contact Erin McLean at erin.mclean@ontario.cancer.ca  
_____________________________________________________________________________________________
Do you want to have an impact when you volunteer? We want you to as well. Here’s how. As the Logistics Run Director you will manage and empower a committee while driving all logistical elements of the CIBC Run for the Cure. In partnership with volunteers and staff, you will contribute to something truly extraordinary in your community. Your team will develop and execute a site plan, organize a 1km and 5km route, and recruit volunteers to support all local Run activities on the day of the event. You will lead meetings, motivate the committee, and act as a local ambassador for the organization. 
After attending the Run Directors conference, held in May (May 1-3), you will be involved in monthly committee meetings from May to July and then biweekly in August and September. Between meetings you should expect to engage in weekly activities requiring 6-8 hours per week. October 1st to 4th will be a high commitment time as all the details come together for the Run For The Cure event which takes place in communities all across the country on October 4, 2020. 
If you feel you are a good fit and would like to learn more about the role, click here for additional details and to apply! 

","

				Additional Details
				
Get Connected Icon






Get Connected Icon
18 and older


Get Connected Icon
Register by Apr 24, 2020


Get Connected Icon

																	Is Outdoors
															



Inclement Weather Plan: CIBC Run for the Cure takes place outside, however this position contributes to the planning and event execution and will take place mostly indoors in lead up to the event.


Get Connected Icon

																	Is Wheelchair Accessible
															



","['Special Events', 'Board Service', 'Health']","
Location



Get Connected Icon

												1764 Regent Street South

												
												
												Sudbury, ON P3E 3Z8
											



"
"
                                                                                                                                                        Community Garden Volunteers
                                                                                                                                                ",Ward 8 Community Action Network,https://volunteersudbury.galaxydigital.com/need/detail/?need_id=510813,"
Description

Overview
There are a number of community gardens in Ward 8, including at Twin Forks Park, Westmount Park, Place Hurtubise social housing complex; NORCAT, and St. Charles College.
The Ward 8 CAN assists our gardens in expanding, maintaining, and promoting the gardens run by volunteers in our ward.
Volunteer needs:
Volunteers are needed to help with various programs and activities, including:

Being part of our Cultivate Your Neighbourhood team: helping at local primary schools where we plant seeds with students, mentor them through the initial germination and growth of the plant, and help them plant their plants in June at local community gardens
getting gardens ready for the planting season in May and cleaning out the gardens in the fall
watering and weeding during the summer
helping to expand gardens as needed
helping with celebrations run at the gardens

Note that some community gardens are wheelchair accessible, but some are not.
Responsibilities
Responsibilities vary from leading teams, being members of teams, or working on your own, depending on the role you want to take on at the garden(s) of your choice.
Qualifications

Wanting to have fun!
Enjoying being outdoors
Wanting to make a difference in your community
Enjoying working with children if you are part of our Cultivate Your Neighbourhood team
Gardening knowledge and skills are welcome but we will help you learn


","

				Additional Details
				
Get Connected Icon






Get Connected Icon

																	Is Family Friendly
															


Get Connected Icon

																	Is Outdoors
															


Get Connected Icon

																	Is Wheelchair Accessible
															



",['Sports and Recreation'],"
Location



Get Connected Icon

												1590 Dollard Avenue

												
												
												Sudbury, ON P3A 4G9
											



"
"
                                                                                                                                                        Delivery Drivers Needed!
                                                                                                                                                ",Meals On Wheels (Sudbury),https://volunteersudbury.galaxydigital.com/need/detail/?need_id=378056,"
Description

UPDATE: Meals on Wheels is in desperate need of volunteers to help service their clients with nutritious meals. These individuals may not be able to leave their homes due to COVID-19 (isolated, physical limitations, etc.). If you are interested in helping, please contact them directly. 
 
Meals On Wheels (Sudbury) is a community-focused organization embracing volunteerism in the provision of nutritious meals and services. All the meals are delivered within the community by dedicated volunteers. Our volunteers enjoy being part of delivering healthy, hot meals to clients and ensuring that everyone is having a great day.
Volunteer Delivery Drivers support both hot and frozen meal programs by delivering meals directly to our client’s homes.
Roles and Responsibilities
 - Meal delivery occurs between 10:30 am and 1:00 pm, Monday-Friday (most routes do not take the full 2.5h to deliver)
 - Volunteers meet at our office (1127 Bancroft Drive) at 10:15 am on the day of their scheduled delivery
 - Volunteers will receive their route list, complete with client name, address and general driving directions.
 - There is a maximum of 18 meals per route, although the average meal count is 14 meals/route.
** As the coordinator, I make every attempt to assign our Volunteers to a route in an area they feel the most comfortable driving, i.e., know the area. I also try to my best to keep the Volunteers on that specific route to becoming familiar with the clients.
 
Qualifications
 - All Meals On Wheels (Sudbury) volunteers will complete an interview to determine their interests and best suitable position.
 - Must possess a valid driver's license and have a reliable, insured vehicle
 - Must pass a screening process which includes a Vulnerable Sector Check 
Meals On Wheels (Sudbury) policy states that Volunteers must offer their time at least once per month, to remain as a registered volunteer. However, we do understand that vacations and life events may interrupt scheduling. As well our policies insist that all Volunteers receive proper training in meal delivery, Agency processes, and client privacy before going on delivery.
What we do for you
 - Gain valuable work experience
 - Give back to the community
 - Make a positive difference
 - Develop new skills
 - Network and meet new people
 - Enrich your life
Help us help them; volunteer for Meals on Wheels! You are not only delivering a meal; you're providing a smile!
 
**Interested volunteers should respond to this ad, or visit out website to complete an application. The Volunteer Coordinator will reach out to you as soon as possible! 
Thank you!

","

				Additional Details
				
Get Connected Icon






Get Connected Icon
16 and older


Get Connected Icon

																	Is Family Friendly
															


Get Connected Icon

																	Is Outdoors
															



Inclement Weather Plan: If weather is unsafe, we ensure to take the proper measures to accommodate our volunteers. If roads are in terrible condition we cancel meal delivery. If a volunteer does not feel a road way is safe to deliver, they may choose to deny delivery to said client. 


Get Connected Icon

																	Is Wheelchair Accessible
															


Get Connected Icon
Like driving


Get Connected Icon
Enjoy feeding people hot nutritious meals!


Get Connected Icon
Have a valid driver's license


Get Connected Icon
Have a reliable, insured vehicle



","['Health', 'Food Prep']","
Location



Get Connected Icon

												1127 Bancroft Dr

												
												
												Sudbury, ON P3B 1R6
											



"
"
                                                                                                                                                        New Board Members Needed
                                                                                                                                                ",Memorial Society of Northern Ontario,https://volunteersudbury.galaxydigital.com/need/detail/?need_id=497423,"
Description

The Memorial Society of Northern Ontario is welcoming new board member applications, including for Treasurer, Secretary
Expectations of a Board Member
Meetings and Time Commitment:

Attend regular monthly Board meetings approximately six times a year.
Attend any special meetings of the Board called by the Board, President or Board Executive.
Attend the Annual General Meeting. 
Prepare and participate in Board discussions and decision making.
Respect and support majority decisions of the Board.

Term of Office:

Varying terms of office, from 1-3 years.

Please send applications by email:  msnont@gmail.com or mail at
PO Box 1355, Stn BSudbury ONP3E 5K4 Please send application by April 15, 2020For more information, please call (705) 671-3753 and leave a message. 
Thank you!
 

","

				Additional Details
				
Get Connected Icon






Get Connected Icon
18 and older


Get Connected Icon

																	Is Not Family Friendly
															


Get Connected Icon

																	Is Not Outdoors
															


Get Connected Icon

																	Is Wheelchair Accessible
															


Get Connected Icon
previous board experience an asset



",['Advocacy and Policy'],nan
