Position,Location,Description,Organization,Deadline,Websites
Groceries for Seniors - shopper , 215-1980 Ogilvie Road,"Our Groceries for Seniors program is recruiting a new/temporary volunteer to join their team of grocery shoppers! 

Volunteers are provided with a grocery list and completes this grocery order at the Fallingbrook Metro on 10th line road. Further details will be provided by the Groceries Coordinator.  

Hours are 8:30 to approximately 11:30 on Wednesday mornings. ", Eastern Ottawa Resource Centre/Centre des ressources de lest dOttawa," Jul 17, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43833
Meals on Wheels Driver, 215-1980 Ogilvie Road Ottawa Ontario K1J 9L3,To deliver meals to seniors in east Ottawa once or twice a week. deliveries are between 11:00 a.m. - 1:00 p.m. Mileage is paid and a police record check is required. This position would be of interest to those who like to work with seniors and have a vehicle. , Eastern Ottawa Resource Centre/Centre des ressources de lest dOttawa," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43832
Move Coordinator Shelter Movers Ottawa , Remote/Work from Home ,"Description of Position 

Shelter Movers Ottawa provides free moving and storage services to those fleeing abuse in and around Ottawa. We are the only organization of our kind in Canada, and our volunteers are no less exceptional. Every year, in collaboration with community partners, our volunteer teams contribute over 15,000 hours to support people transitioning to lives free of violence and abuse.


We are looking for people who have a keen eye on organization and are good problem solvers. A Move Coordinator is an integral part of the move team, providing coordination of the move beforehand and on-call support on the day of a move. The Move Coordinator ensures all moves go smoothly, that volunteer movers and drivers are recruited, and tackles any unforeseen challenges. 


Responsibilities 

This role requires hard working professionals with strong communication skills (by email and phone), and an ability to serve clients with patience and empathy while looking for solutions and managing expectations. An ability to remain calm in stressful situations, awareness of compassion fatigue and self-care, and maintaining communication with your team, are essential skills for the Move Coordinator.


As a Move Coordinator, you will be the puppeteer behind a move – the person who puts it together and makes it happen. 


Time Commitment

Moves happen all over the city, at various times in the day, throughout the week. 


Since Move Coordinators work through email and phone, this is a work-from-home position, with occasional meetings (in-person and/or conference calls.) A 3 to 6 month commitment is strongly preferred. 


Requirements 

Collect move-related information from clients and referring agencies

Assemble volunteer move teams using a database and e-mail

Coordinate the date/time and other logistics of a move and ensure all clients and volunteers are available

Provide information to volunteers while protecting client confidentiality

Reserve move vehicles and ensure drivers have necessary information to pick up vehicles

Being available during a move to support the move team in the event of unexpected challenges (ie. extending vehicle reservations)

Electronically file client and volunteer waivers

Report back to Move Coordination Manager after each move

Use patience, empathy, and active listening skills in serving people under stress

Being aware of compassion fatigue, self-care, and working safely

Have regular check-ins with Shelter Movers staff


Shelter Movers volunteers must be at least 18 years of age, complete an interview process, attend an orientation for new volunteers, in addition to signing a confidentiality agreement and obtaining a criminal record check.


How to Apply: 


Please contact our Volunteer Services Team at volunteerottawa@sheltermovers.com to express your interest in this role, and include """"Move Coordinator"""" in the subject heading.", Shelter Movers of Ottawa," Sep 1, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43828
Immigration Lawyer or Licenced  or unlicensed , 427 McArthur  Avenue ottawa on ,"An immigration attorney handles legal matters that pertain to immigration matters. Immigration attorneys interpret and provide advice on migration, citizenship and business immigration issues, political asylum, and on the processes through which people may secure travel, work or student visas.

The suitable candidate may serve on the board of directors and advise or support new programs with citizenship and Immigration Canada.", Fellowship of Yahweh Tabernacle Inc.," Jul 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43821
"Writer, Communication Specialist "," 1814 Aspenview Way

1814 Aspenview Way427 hhh","Excellent writing and communication skills are obviously essential. A masters degree in English language or equivalent. Journalism, Theology, e.t.c.

Basically, a writer is someone who writes for a living, creating fiction (e.g. novels, short stories, scripts for films, theatre and television), non-fiction (e.g. biographies, autobiographies, web content and reference books) or poetry. They often work as freelancers.", Fellowship of Yahweh Tabernacle Inc.," Jul 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43820
Sunday School Teacher , 427 MacArthur Avenue ,"The Sunday school teacher’s job description centers around leading class members people into an intimate relationship with Christ so they become Christ followers who serve him through evangelism, discipleship, fellowship, ministry, and worship. Other class members should be enlisted to help with the other class responsibilities.

This is a one year commitment.

Arrive 15 minutes early to help welcome class members.

Build relationships with participants outside of class to better understand their needs and to help them develop their relationship with Christ.

Faithfully prepare and teach the lesson on your designated week.

(2 Timothy 2:15)

Your goal is not to teach the lesson, but to change lives as you teach God's Word. (1 Corinthians 4:2)

Teachers will have approx. 45 minutes to teach.

If you finish your lesson early, take time to pray together as a class

", Fellowship of Yahweh Tabernacle Inc.," Jul 30, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43819
Virtual Tech Mentor - Cyber Seniors, virtual - national organization,"Cyber-Seniors is an intergenerational program that trains young people to be tech mentors for senior citizens. The ability to use online communication applications to stay connected is vital for older adults and other vulnerable people. Helping a senior learn to use transactional websites to order groceries, pharmaceuticals, food delivery, etc., will make a big difference in allowing them to remain self-sufficient from the safety of their home. In the best of times, digital literacy can be life-altering; in times like these, it can be life-saving.


Step 1: Get a FREE membership to the Cyber-Seniors Mentor Training program (6 online training videos and quizzes) at cyberseniors.org/student-membership

Step 2: Sign-up to help seniors to learn tech.


Also, please help us by letting any Seniors you know that they can:

• register online for a group session or one-on-one tech-support by visiting our website at www.cyberseniors.org; or

• access the over 1200 training tutorials (soon available in Spanish and French) and the Cyber-Seniors discussion forum by calling us at 1-844-217-3057 to register.


To register, please go directly to the Cyber Seniors website to sign-on to be a mentor:  https://cyberseniors.org/student-membership/.



", Volunteer Ottawa," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43818
Marketing Managers and Assistant - 	Merivale Student Association-Merivale Fundhub, N/A,"As a volunteer you will be responsible to contact and maintain a connection with sponsors and partnerships through email, DM, and by calling. It will be excellent if you are familiar with the platform of Facebook and/or Instagram.


Work hours:

2-4 hours daily


Requirements:

- 1-2 year experience in marketing

- Resume (optional: interview)", Volunteer Ottawa," Jul 10, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43768
Culture Promoter/Lead," 1777 Tenth Line Rd

Orleans, On","Are you a people person? Do you like to promote a fun place to work and encourage everyone to work well together? If so, we need your help! We are blessed daily with donations that need to be sorted before we can sell it. This is a fast paced environment filled with lots of interesting finds in many departments and a wide range of volunteers to make this all work harmoniously!


Responsibilities:

Help Volunteers to find their sweet spot and help them thrive in their roles. Foster a great working area promoting everyone working together towards the common goals. Work on schedule to ensure all spaces are filled, retained and thriving.


Qualifications:

Great for retired people wanting to give back to the community.

Great for youth looking for volunteer/work experience (8-15 years with an adult)

Group volunteer opportunity up to 20 people/group


Benefits:

Gain great experience in the retail industry
", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43735
Driver & Deliveries," 1777 Tenth Line Rd

Orleans, On","The Volunteer Driver is responsible for the pickup of donations and deliveries of purchased furniture as well as receiving donations at the store. The volunteer must be willing to advocate for the Mission Thrift Store and maintain a positive and professional working atmosphere.


Responsibilities

·	Drive the Mission Thrift Store vehicle for pickups and deliveries

·	Load & unload donated goods

·	Screen for product usability 

Experience Requirements

·	Must have a valid driver’s license 

·	Acceptable Drivers Abstract

·	10+ years driving experience 

Desired Skills

·	Professional driving skills

·	Communicate in a professional manner

·	Ability to life 50+ Lbs

·	Able to work with others and instruct others to assist in pickup and deliveries

·	Health and Safety awareness

·	Operate moving equipment safely

·	Moving skills

·	Provide exceptional customer service
", Mission Thrift Store Orleans," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=43733
