Position,Location,Primary_Category,Organization,Date_Posted,Websites,Description
THIS SATURDAY - Contactless Delivery Driver Volunteers,"Toronto, Ontario",COVID-19 Response,Hand Up Toronto,2020-06-23,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=608778,"

We are looking for volunteer drivers, with their own vehicle, to deliver grocery care packages to families that are unable to leave their home this Saturday June 27th 


Location: Care package pick up at our warehouse near the DVP & Queen Street East. Delivery routes this week are in Toronto, North York & Scarborough

How it works: We will contact you the morning before with a set of instructions for your delivery and a specific time slot to come pick up the care packages. On the morning of,you  will receive a text message with a link to a webpage  that will guide you through your route stop by stop. We recommend that you bring a helper along if you have someone you can share a space with. 

 
Hand Up for Kids is a program created in response to COVID – 19 to alleviate food insecurity for families who have been impacted by this pandemic. Our goal is to provide groceries to low income households with children that are in need, especially at this time.

As of today we have over 10,000 families signed up. This kind of scale requires all hands on deck and we need all the support we can get to scale our operations to feed 10,000 families. We are looking for +100 volunteers to help!

"
Marketing and Communications Manager/Coordinator for a Registered Charity,"Toronto, Ontario",COVID-19 Response,Hand Up from Hunger Toronto,2020-06-23,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=608671,"

Looking for energetic marketing professionals with at least 2+ years of experience in social media, communications, SEM/SEO and/or copyrighting at an agency, brand, non-profit or large corporation to join our Hand Up Toronto team. We are looking to build up our marketing team for a fast-paced initiative that came in response to the COVID-19 pandemic.
Hand up for Kids is an initiative aimed at providing support for low income families with kids who have traditionally relied on schools breakfast and lunch programs for the majority of meals that have been affected by school closures. 



Marketing and Communications Manager/Coordinator 
We are looking for two roles reporting to the Director, Marketing & Communications. The Marketing and Communications manager/coordinator and will be responsible for supporting various aspects of our non-profit organization such as marketing, social media, communications, and copyrighting. We are looking for a volunteer who can commit 15-20 hours per week.
Skills
We are looking for the following skills for someone to be sufficient this role:


1+ years experience in a agency, brand, startup, non-profit or large corporation in marketing or communications


Proactiveness: Be able to independently come up with creative ideas for campaigns and initiatives 


Time management: Given the nature of this un-paid role, you are able to utilize your time effectively and complete all tasks.


Planning and organization: You are able to plan for the future and organize your priorities in order to meet organization objectives.


Communication: Ability to communicate openly and consistently with other Hand Up Toronto Members. When you need support, you tell us.


Resourceful: You don’t see hurdles, you see opportunities to problem solve and collaborate with your team by finding a way to make ‘it’ happen.


Adaptable: You have the ability to observe, absorb and adapt to varying tasks, and can quickly pick up on changing priorities.


Responsibilities
Below is a list of task but not limited to that the coordinator/manager will be responsible for:


Work with PR firms, digital advertising firms and managing relationships with key vendors and partners


Respond to community via social channels


Manage and oversee all social advertising campaigns 


Manage social content calendar for social channels (IG/FB/LinkedIn) 


Develop and expand community and influencer outreach efforts


Work with SEO/SEM manager to optimize campaigns


Manage SEM m campaigns and keywords to maximize valuable traffic to site


Conduct keyword research to inform content/marketing comm teams 


Optimize website content, landing pages and paid search copy


Work with social media manager to optimize campaigns 


Produces written content for communicative purposes (social, website, advertising, etc.) 


Manages content on website and ensure consistency across all platforms



Apply by sending a cover letter and resume to resume@handuptoronto.org with subject line” ATTN: (position-name).
Hand Up Toronto is committed to providing an inclusive environment. We encourage and welcome applications from all backgrounds.
 

"
Mover,"Toronto, Ontario",COVID-19 Response,Shelter Movers,2020-06-22,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=516258,"

Shelter Movers is a volunteer-based organization that provides moving and storage services at no cost to women and children experiencing domestic abuse
Movers are key to our organization's work in helping victims of domestic violence. Movers make up the bulk of our volunteers, so you'll be in good company!
A Move Volunteer participates in each of the three types of moves: Urgent Exit, Escorted Move, and Resettlement Move. In a group of 2-6 movers, movers help pack and move a Client’s belongings. Movers who have a valid driver’s license may also be asked to drive the moving vehicles.
This is a great opportunity for someone who wants to make a Big Impact in a small amount of time. Each move is an average of ~4 hours, and you can sign up for as many moves as you would like. However, we encourage a minimum of 2 moves per month. 
Major Responsibilities

Meet other movers at arranged time and place
Move Client’s belongings in and out of vehicles
Provide trauma informed care and respect for Client confidentiality
Continuously conduct risk assessments throughout a move
Maintain communication with all movers during move
Transport client's personal belongings to pre-determined location (Client's children may accompany some of the moves)
Liaise with volunteer team, private security, law enforcement
Must be able to lift a minimum of 20lbs to qualify

Time Requirements: flexible scheduling, approx. 4-8 hours per month.
Knowledge & Skills

Able to lift moderately heavy boxes/furniture
Friendly and sociable
Good judgement skills
Able to cope with potentially stressful situations
Able to maintain confidentiality and provide trauma informed care to clients
Strong communication skills
Flexible and able to adapt to change
Ability to speak additional languages is an asset!

Qualifications & Requirements

Volunteers must be 18 years of age or older
No previous experience or education is required
All volunteers must attend Volunteer Orientation in order to complete moves
Volunteers are required to review move procedures which will be provided at Volunteer Orientation
All volunteers must obtain police background check
All volunteers will coordinate regular check ins with SMGT staff to support learning and performance management
Driver's licence and ability to drive rental vehicle are an asset

Move Volunteers will be provided with training in trauma informed care.
To apply as a mover, please send an email to: TorontoVolunteers@sheltermovers.com indicating your availability, your interest in volunteering with us, and a few words about yourself. 

"
Driver,"Toronto, Ontario",COVID-19 Response,Shelter Movers - Toronto,2020-06-19,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=556205,"


Shelter Movers provides moving and storage services at no cost to women and children fleeing abuse. We are the only organization of our kind in Canada, and our volunteers are no less exceptional. Every year, in collaboration with community partners, our volunteer teams contribute over 15,000 hours to support people transitioning to lives free of violence and abuse.



About The Driver Role:


Access to moving and storage services are a significant barrier to fleeing abuse. Movers and Drivers use their time and energy to help our clients overcome these barriers. They are the ‘helping hands’ and ’boots on the ground’ that support our clients at a critical moment.


Shelter Movers’ volunteer move teams are a grassroots response to Violence Against Women in our communities. Join us!



Responsibilities:


Meet the volunteer team (including other Drivers) at an arranged time and place


Move the client’s belongings in and out of vehicles


Drive rental vehicle and transport belongings to a predetermined location


Maintain communication with Lead Mover and other Movers


Respect client confidentiality


Uphold Shelter Movers’ protocols and procedures


Be aware of trauma-informed care when interacting with clients (training will be provided)


Work with private security and law enforcement (led by Lead Mover) when necessary


Must be able to lift a minimum of 20lbs.


Children may accompany clients on a move, but volunteers do not provide child care and have limited interaction with children. Child care and supervision is provided by clients or our agency partners.



Time Commitment:


We offer flexible scheduling. Drivers can join us on moves in two ways:


By signing up for one move at a time, as their schedules permit, and/or:


By committing to a regular weekly or monthly schedule


Most moves average around 4 hours, depending on distance and complexity. A minimum of 2 moves a month is encouraged.



Essential Skills & Knowledge:


No previous experience or education is required


Access to e-mail and phone


Able to lift a minimum of 20lbs


Able to lift moderately heavy boxes/furniture with a team of other movers


Drivers must be at least 21 years of age


A class G2 or ‘full’ G driver’s licence


Ability to drive rental vehicles (medium to large cargo vans)


Ability to drive a 16"" truck is an asset


Reliable work habits


Maturity and good judgement


Ability to remain calm in potentially stressful situations


Ability to be flexible and adapt to changes


Strong verbal communication skills


Fluency in a second language is an asset


Drivers are expected to maintain confidentiality and provide trauma-informed care to clients (training is provided), and have regular check-ins with staff to support continuous improvement.



As a Driver at Shelter Movers:


You’ll gain hands-on experience on the front lines of our organization, providing moving and storage services for our clients.


You’ll receive training in preparation for your role, and have access to ongoing training opportunities.


You’ll work with a great team of passionate volunteers and supporters.


Drivers who complete 6 moves within the previous 3 months can receive a confirmation of volunteering.


Shelter Movers volunteers must be at least 18 years of age (21 to be a driver), complete an interview process, attend an orientation for new volunteers, in addition to signing a confidentiality agreement and obtaining a criminal record check.

"
Scarborough Drop In Food for Families ,"toronto, Ontario",COVID-19 Response,Good neighbours Drop in,2020-06-19,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=225152,"

 
 
We are looking for volunteers who can help with our family with children food bank over the summer
days needed are thursday and friday from 9 to 4  FOR THE MONTH OF JULY
hours are flexible for volunteers
193 Markham Road 
 
 

"
COVID-19: Remote Administrative Support Volunteer,"Etobicoke, Toronto, North York, Scarborough, Ontario",COVID-19 Response,Toronto Cares Initiative,2020-06-19,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=608457,"

Toronto Cares is a small nonprofit organization that packs and delivers grocery boxes every Saturday to low-income families across the GTA. 
 We require a few volunteers to help with our admin team, mostly making phone calls to our recipients who are unable to access the internet so that you can complete the intake form for them, or remind them of payments, or let them know that their delivery will be coming the next day

Time Commitment: 3-8 hours per week 

Age Requirement: 20+

"
Retired Persons Opportunity,"toronto, Ontario",COVID-19 Response,st john the compassionate mission,2020-06-19,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=561521,"

 
 
Managing a successful store that helps people in need in downtown Toronto. 
Accepting donation of clothes and other household items.
Sort donations and exhibit them for sale.
Coordinate volunteers schedules. 
Once we receive your application we can have a full conversation on the scope of the management .

"
COVID-19: Food Packing Volunteer,"Toronto, Ontario",COVID-19 Response,Toronto Cares Initiative,2020-06-19,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=608455,"

Toronto Cares is a small nonprofit organization that packs and delivers grocery boxes every Saturday to low-income families across the GTA. We require non-driving volunteers who can come to our Roncesvalles site to package food, pack boxes, load vehicles, and help with cleanup.
 
Time Commitment: 3 hour shifts on Saturdays

Location: 214 Wright St., Toronto


"
COVID-19: Driver,"Etobicoke, Toronto, North York, Scarborough, Ontario",COVID-19 Response,Toronto Cares Initiative,2020-06-19,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=608454,"

Toronto Cares is a small nonprofit organization that packs and delivers grocery boxes every Saturday to low-income families across the GTA. 
We require volunteers that can deliver the boxes to families in different neighborhoods... this involves picking up the boxes at either our Roncesvalles site or our York Mills site, and driving them to one area of the city to deliver between 3 and 10 packages, depending on which route you sign up for.

Time Commitment: 3 hour shifts on Saturdays 

"
Meal/Grocery Delivery Volunteer,"Toronto, Ontario",COVID-19 Response,SPRINT Senior Care,2020-06-17,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=608278,"

About SPRINT Senior Care
We began caring for seniors and enabling seniors to care for themselves in 1983. We continue to do so today as an accredited, not-for-profit community support service agency in Toronto by offering a wide range of practical and low-cost services to seniors and their caregivers. Our services help seniors stay safe, connected, and live as independently as possible, as well as prevent premature or inappropriate institutionalization.
We supply services regardless of ability, race, religion, ethnic origin, citizenship, marital status, sexual orientation, or gender identity, and are committed to LGBT (Lesbian, Gay, Bisexual, and Transgender) inclusiveness.
We also co-direct House Calls, a primary care program for frail and homebound seniors, and are the lead agency of Toronto Ride, a Toronto-wide transportation network that provides rides to seniors.
 
COVID-19: How You Can Help
The COVID-19 outbreak has been particularly hard for seniors, who are at higher risk. We are getting prepared to launch a new COVID-19 relief program to ensure the highest-risk seniors are safe, healthy and are able to access groceries and other essential items.
Click here to read a recent Toronto Star article about how SPRINT Senior Care and other local organizations are helping local seniors. 
Here's how you can help us during this challenging time: 
 
Volunteer with us 
Join our COVID-19 Community Response Team! Our team is helping to ensure seniors in the community are safe and have access to groceries and other essential items. We are hiring volunteers to help us with: 

Packing food and other items - full
Calling seniors for their grocery orders - full
Delivering items - volunteer needed
Security checks (over the phone) - full

We’re now in need of volunteer drivers who can help with meal delivery and/or grocery delivery. Our meal delivery program runs every Tuesday and Friday, and we have grocery delivery program on Monday, Wednesday and Thursday. Our service area is Midtown Toronto.  
The volunteer schedule is around 12:00pm to 2pm for both roles. At this moment, we have limited opportunities each day (Mon- Fri). Volunteer applicants can choose which day they prefer to volunteer. Please consider at least one-month commitment.



"
