Position,Location,Category,Organization,Date Posted,Websites,Description
"Co-Director, Sponsorship","Toronto, Ontario","Boards, Committees, and Leadership",Endeavour Volunteer Consulting for Non-Profits,2020-07-04,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=609702,"

ROLE
 
Endeavour is looking for a volunteer to join the Fund Development Division as Co-Director of Sponsorship. This is an exciting opportunity as the Fund Development Division is a new division within our organization, meaning there are a lot of room to unleash your creativity and develop fresh ideas! You would be reporting under the VP of Fund Development who oversees fundraising initiatives. As the Co-Director of Sponsorship, you would be responsible for leading and executing specific fundraising initiatives, as well as developing new ideas and strategy to raise funds for Endeavour. 
 
This position requires a results-oriented, highly-motivated, hands-on leader who can thrive in a matrixed environment. This position would require 5-10 hours/week.


RESPONSIBILITIES
 
Specific Responsibilities:
 

Develop and prioritize initiatives to meet fundraising targets
Draft appropriate correspondence such as proposals, sponsorship package, thank you letters and program outcome information
Manage and strengthen partner relationships
Lead development of operation plan and execution of various fundraising initiatives
Identify businesses and donors who would be interested in sponsorship opportunities

 
 
QUALIFICATIONS
 
Required:

Long-term commitment to Endeavour Volunteer Consulting for Non-Profits
Outstanding communication skills (spoken and written) in English
Strong knowledge of sales, marketing and branding strategies
Experience in executing various marketing initiatives
Ability to create appealing PowerPoint presentations

 
 
Preferred:

Prior experience in creating sponsorship packages would be an asset
Prior non-profit fundraising/ CSR experience would be an asset
Prior experience with Endeavour in any capacity would be an asset

 
BENEFITS
 

Strengthen your leadership, management and communication skills
Work with and learn from a diverse network of talented volunteers 
Contribute to and share in the successes of a growing non-profit
Meet and network with volunteers, clients, experts and community leaders from diverse backgrounds and industries
Gain insight into consulting and the non-profit and social sectors

 
 
APPLICATION
 
Apply by July 17th, 2020
 
Documents Required:

Cover Letter
Resume

 
Subject Line: First Name Last Name – Co-Director of Sponsorship Application
 
Email: eunice.yau@evcn.ca

"
COVID-19: Driver,"Etobicoke, Toronto, North York, and Scarborough,",COVID-19 Response,CEE Centre for Young Black Professionals,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=605105,"

The CEE (Careers, Education, Empowerment)  is in need of Volunteer Drivers to deliver food to alumni and community members.

Responsibilities

Collect the boxes from CEE's office at 510 Consumers Road
Contact the recipient en-route to let them know the estimated time of arrival
Ensure that the boxes are delivered to the recipients

 
Time Commitment
Volunteers start at 10:30 am. Deliveries may take anywhere from 1 to 4 hours.
 
About the Organization
The CEE Centre for Young Black Professionals is a charity dedicated to addressing economic and social barriers affecting black youth ages 14 and over. Our activities are focused on youth workforce development, education, and advocacy to influence systems and policy.

We are committed to ensuring that we achieve our vision of a society and economy in which Black youth achieve economic stability and a stronger knowledge of themselves and their potential and contribute to building prosperous communities.

"
Advocacy Volunteer,Ontario,"Advocacy, Policy, and Research",Canadian Women's Chamber of Commerce,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=609694,"


 
About Us
 
The Canadian Women’s Chamber of Commerce (CanWCC) is a nationally incorporated, not-for-proﬁt organization, dedicated to advocacy, advancement, and connection for and on behalf of its members. CanWCC’s membership consists of women-identiﬁed entrepreneurs and businesses that are at least 50% woman(en)-owned and led.


CanWCC focuses on three key interwoven activities to support its members:


1. Connection through the development of a national network of women entrepreneurs, business owners, and the organizations that serve them.


2. Advocacy on behalf of members, informed by members and supported by the national network.


3. Advancement at both the micro- and macro-level, facilitating economic opportunities for women business owners and building a stronger Canadian economy.
 
 
About the Role


As the first and only Chamber of Commerce representing women business owners in Canada, we are called upon for input when governments (of all levels) are considering policy change. We take this responsibility very seriously and work tirelessly to understand the issues affecting our members.  


We are looking for a volunteer to support our team’s Advocacy and Policy work across a variety of topics including affordable childcare, access to capital and COVID-19 Recovery. The role will focus on, but is not limited to, the following tasks:




Conducting research


Creating policy briefs, reports and communications documents


Supporting the development of advocacy campaigns


Analyzing data and synthesizing information




To be successful in this role, candidates must be passionate about women’s entrepreneurship and either possess the following assets or a desire and ability to develop them:




Excellent communication skills, both verbal and written


Professional, reliable, courteous, and discreet


Well organized and accurate


Willing and able to suggest improvements to existing processes and procedures


Experience conducting research and working with datasets


Knowledge of government policies affecting women business owners (e.g. child care) is desirable


Experience with Excel and SPSS would be a plus


 
 
Application deadline: July 19, 2020, 5pm (ET)
 
Hours of Work: Hours are project-based
 
Place of Work: Remote, work from home
 
Perks & Benefits:

Casual work environment
Flexible schedule
Opportunity to create significant positive social change

 
 
The Canadian Women’s Chamber of Commerce (CanWCC) believes that gender expression and identity is a fundamental right.  We welcome all women, as well as non-binary people to become members.
 
CanWCC is committed to inclusive and anti-discrimination practices in relation to those who identify as women and non-binary participants.  We aim to ensure that all members’, volunteers’, Directors’, Officers’, and employees’ rights are respected and protected.
CanWCC confirms that gender identity or expression is not in any way related to one’s eligibility for participating as a volunteer or employee.


CanWCC is committed to providing accessible employment practices that are in compliant with the Accessibility for Ontarians with Disabilities Act (AODA). If you require accommodation during any stage of the recruitment process, please notify us when contacted for an interview.





"
YouTube Community Manager,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607492,"

 
We are looking for a YouTube Community Manager to help us manage our YouTube Channel.
 Responsibilities:


 Uploading videos to our YouTube channel


 Conducting research on keywords, as well as optimize titles, descriptions, and tags of every YouTube video uploaded




 Promoting videos on YouTube


 Interacting or engaging with viewers of the channel


 Staying up-to-date on changes to the YouTube platform


 Ensuring all video content adheres to our charity guidelines 


 Maintaining channel quality and content governance


 Keeping documentation updated and storing all submitted videos 


 Collaborating with the marketing and social media teams in order to amplify relevant videos across our other social media channels 


 Providing insights and recommendations according to the data 


 Presenting project ideas to help improve the overall health and organization of YouTube channel


 This position is also opened for Co-op students

"
Writer,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=599829,"

 
We are looking for a Writer to join our team and enrich our websites with new blog posts, guides and marketing copy.
Writer responsibilities include conducting thorough research on a variety of topics, generating ideas for new content types and proofreading articles before publication. If you’re familiar with producing online content and have an eye for detail, we’d like to meet you. 
This position is also opened for Co-op students. 
Responsibilities


Research industry-related topics (combining online sources, interviews and studies)


Write clear marketing copy to promote our products/services


Prepare well-structured drafts using Content Management Systems


Proofread and edit blog posts before publication


Submit work to editors for input and approval


Coordinate with marketing and design teams to illustrate articles


Identify customers’ needs and gaps in our content and recommend new topics


Ensure all-around consistency (style, fonts, images and tone)


Update website content as needed





"
Website Designer,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=605246,"

 
We are looking for a Website Designer to join our team and help us bring simplicity and friendliness to our website.
 
This position is also opened for Co-op students. 
 
Responsibilities:


Designing webpage layout


Determining technical requirements


Updating website


Creating backup files


Solving code problems


 
 

"
Web Developer,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606567,"

We are looking for Web Developers who will be working alongside a team of other developers in creating, maintaining, and updating our website.
Responsibilities:


Website designing, building, and maintaining.


Conferring with teams to resolve conflicts, prioritize needs, develop content criteria, or choose solutions.


Directing or performing Website updates.


Developing or validating test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.


Editing, writing, and designing Website content, alongside to team members who produce content.


Back up files from Web sites to local directories for recovery.


Identifying problems uncovered by customer feedback and testing, and correcting or referring problems to appropriate personnel for correction.


Evaluating code to ensure it meets industry standards, is valid, is properly structured, and is compatible with browsers, devices, or operating systems.


Determining user needs by analyzing technical requirements.


Requirements:


Working knowledge of Odoo 11,12,13 preferred.


This position is also opened for Co-op students. 




"
Volunteer Coordinator,"Toronto, Ontario",Administration and Customer Service,Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=599702,"

 
Volunteer coordinators recruit volunteers to help with the organization's goals, and they make sure all tasks that need volunteers are covered. 




Recruiting new volunteers through community outreach and free advertising opportunities. 


Interviewing applicants


Training new volunteers.




Creating and filling schedules for organizational needs is a primary part of the coordinator's job duties. 




Maintaining a volunteer database and keeping track of individual volunteer activities.




"
Video Editor,"Toronto, Ontario","Marketing, Communications, and Fundraising",Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=601675,"

 
Ultimately, as a film and video editor, you should be able to bring sight and sound together in order to tell a cohesive story
Responsibilities


Manipulate and edit film pieces in a way that is invisible to the audience


Take a brief to grasp production team’s needs and specifications


Review shooting script and raw material to create a shot decision list based on scenes’ value and contribution to continuity


Trim footage segments and put together the sequence of the film


Input music, dialogues, graphics and effects


Create rough and final cuts


Ensure logical sequencing and smooth running


Work with social media content creator and graphic designer


Create images, videos, animations, and other visual content



"
Technical support representative ,"Toronto, Ontario",IT Support,Single Mothers in Progress,2020-07-03,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=603619,"

 
You will be supporting end users during troubleshooting activities as well as interacting directly with operating systems, hardware, and software to provide updates and patches. You can enjoy the satisfaction of using your particular skills to help people while working in a positive and encouraging office environment.
 
This position is also opened for Co-op students. 
Job Responsibilities


Provide daily support to users of various computer systems including answering questions, analyzing problems, and quickly forming solutions to return systems to proper operation.


Communicate clearly and effectively with end users, colleagues, and management to quickly resolve issues and ensure customer satisfaction.


Install and maintain hardware, software, and other equipment to meet client requirements, routinely observe operational performance, and install security patches and updates when necessary.


Maintain detailed records of daily interactions with customers, installation activities, reported issues, and completed solutions along with any further actions required of management or repair personnel.


Increase personal technical knowledge by reading trade publications, operating manuals, and diagnostics information, and attending conferences or seminars when possible.


Develop training manuals and troubleshooting procedures to help both support personnel and end users interact properly with hardware and software.


Collaborate with technical staff and clients to establish goals and objectives for system improvements and upgrades.


Create and implement new processes to improve efficiency and customer satisfaction while reducing costs.



"
